formula,hform,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData mean MeltingT,MagpieData mode MeltingT,MagpieData range Row,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData range NpValence,MagpieData avg_dev NpValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData minimum NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData range NValence,MagpieData maximum NsUnfilled,MagpieData mode NsUnfilled,MagpieData maximum NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData maximum NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NUnfilled,MagpieData mean NUnfilled,MagpieData maximum GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData mode GSbandgap,MagpieData maximum GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,DemlData maximum atom_radius,DemlData minimum molar_vol,DemlData maximum heat_fusion,DemlData minimum heat_cap,DemlData mean heat_cap,DemlData minimum first_ioniz,DemlData mean electric_pol,DemlData minimum GGAU_Etot,DemlData maximum GGAU_Etot,DemlData range GGAU_Etot,DemlData minimum FERE correction,DemlData maximum FERE correction,DemlData range FERE correction,PymatgenData maximum block,PymatgenData range block,PymatgenData mean block,PymatgenData std_dev block,PymatgenData minimum electrical_resistivity,PymatgenData maximum electrical_resistivity,PymatgenData minimum velocity_of_sound,PymatgenData mean velocity_of_sound,PymatgenData maximum thermal_conductivity,PymatgenData minimum bulk_modulus,PymatgenData mean bulk_modulus,PymatgenData minimum coefficient_of_linear_thermal_expansion,0-norm,2-norm,frac p valence electrons
Ag2,0.309243812042034,47.0,47.0,0.0,47.0,47.0,65.0,65.0,65.0,0.0,65.0,1234.93,1234.93,1234.93,1234.93,0.0,145.0,0.0,1.93,0.0,1.93,1.93,1.0,1.0,1.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,11.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,16.33,16.33,0.0,0.0,0.0,0.0,225.0,225.0,225.0,0.0,160,10.27,11300.0,25.35,25.35,731000,7.2,-0.71,-0.71,0.0,-0.1170095854159561,-0.1170095854159561,0.0,3.0,0.0,3.0,0.0,1.587e-08,1.587e-08,2600.0,2600.0,430.0,100.0,100.0,1.89e-05,1,1.0,0.0
Ag2As2O4,-0.6916948236019076,8.0,47.0,39.0,24.0,8.0,65.0,87.0,80.75,7.875,87.0,54.8,1234.93,608.6325,54.8,3.0,145.0,79.0,3.44,1.51,2.7475,3.44,1.0,2.0,2.0,0.0,4.0,1.375,10.0,10.0,0.0,0.0,6.0,9.0,1.0,0.0,3.0,0.875,2.0,0.0,0.0,1.0,2.0,22.175,14.17875,0.0,0.0,0.0,0.0,12.0,225.0,103.75,91.75,160,10.27,27700.0,24.64,27.1865,731000,3.2785,-4.99,-0.71,4.28,-0.4099999999999992,0.2300000000000004,0.6399999999999997,3.0,1.0,2.25,0.5477225575051662,1.587e-08,24391195280670.85,317.5,1685.184375,430.0,22.0,75.89710144927535,1.627619047619048e-05,3,0.6123724356957945,0.2894736842105263
Ag2As2O6,-0.5679199828511038,8.0,47.0,39.0,20.8,8.0,65.0,87.0,82.0,6.8,87.0,54.8,1234.93,497.8660000000001,54.8,3.0,145.0,79.0,3.44,1.51,2.886,3.44,1.0,2.0,2.0,0.0,4.0,1.2,10.0,10.0,0.0,0.0,6.0,9.0,1.0,0.0,3.0,0.72,2.0,0.0,0.0,1.0,2.0,22.175,13.163999999999998,0.0,0.0,0.0,0.0,12.0,225.0,85.4,88.08,160,10.27,27700.0,24.64,27.6248,731000,2.7832,-4.99,-0.71,4.28,-0.4099999999999992,0.2300000000000004,0.6399999999999997,3.0,1.0,2.2,0.5345224838248488,1.587e-08,24391195280670.85,317.5,1411.6475,430.0,22.0,78.87652173913042,1.627619047619048e-05,3,0.6633249580710799,0.3409090909090909
Ag2As2S4,-0.0638723211265608,16.0,47.0,31.0,28.0,16.0,65.0,88.0,81.25,8.125,88.0,388.36,1234.93,775.4125000000001,388.36,2.0,145.0,40.0,2.58,0.6500000000000001,2.3175,2.58,1.0,2.0,2.0,0.0,4.0,1.375,10.0,10.0,0.0,0.0,6.0,9.0,1.0,0.0,3.0,0.875,2.0,0.0,0.0,1.0,2.0,25.786875,22.5196875,0.0,2.202,2.202,0.0,70.0,225.0,132.75,62.75,160,10.27,27700.0,22.75,23.8725,731000,4.3275,-4.65,-0.71,3.94,-0.4099999999999992,0.0599999999999996,0.4699999999999988,3.0,1.0,2.25,0.5477225575051662,1.587e-08,2000000000000000.0,2600.0,3279.3031250000004,430.0,7.7,34.35,1.627619047619048e-05,3,0.6123724356957945,0.2894736842105263
Ag2As2S6,0.0599113631921461,16.0,47.0,31.0,25.6,16.0,65.0,88.0,82.6,7.040000000000004,88.0,388.36,1234.93,698.0020000000001,388.36,2.0,145.0,40.0,2.58,0.6500000000000001,2.37,2.58,1.0,2.0,2.0,0.0,4.0,1.2,10.0,10.0,0.0,0.0,6.0,9.0,1.0,0.0,3.0,0.72,2.0,0.0,0.0,1.0,2.0,25.786875,23.173125,0.0,2.202,2.202,0.0,70.0,225.0,120.2,60.24000000000001,160,10.27,27700.0,22.75,23.648000000000003,731000,4.042,-4.65,-0.71,3.94,-0.4099999999999992,0.0599999999999996,0.4699999999999988,3.0,1.0,2.2,0.5345224838248488,1.587e-08,2000000000000000.0,2600.0,3324.59,430.0,7.7,29.02,1.627619047619048e-05,3,0.6633249580710799,0.3409090909090909
Ag2As2Se4,-0.0398680447975108,33.0,47.0,14.0,37.0,34.0,65.0,89.0,81.75,8.375,89.0,494.0,1234.93,828.2325000000001,494.0,1.0,145.0,26.0,2.55,0.6199999999999999,2.3025,2.55,1.0,2.0,2.0,0.0,4.0,1.375,10.0,0.0,0.0,0.0,11.0,5.0,1.0,0.0,3.0,0.875,2.0,0.0,0.0,1.0,2.0,25.92,22.58625,0.0,0.799,0.799,0.0,14.0,225.0,104.75,90.75,160,10.27,27700.0,24.64,25.179,731000,4.7625,-4.65,-0.71,3.94,-0.4099999999999992,-0.0699999999999998,0.3399999999999994,3.0,1.0,2.25,0.5477225575051662,1.587e-08,24391195280670.85,2600.0,3201.434375,430.0,8.3,34.65,1.627619047619048e-05,3,0.6123724356957945,0.1896551724137931
Ag2As2Se6,0.0420624036878933,33.0,47.0,14.0,36.4,34.0,65.0,89.0,83.2,7.2799999999999985,89.0,494.0,1234.93,761.3860000000001,494.0,1.0,145.0,26.0,2.55,0.6199999999999999,2.352,2.55,1.0,2.0,2.0,0.0,4.0,1.2,10.0,0.0,0.0,0.0,11.0,5.0,1.0,0.0,3.0,0.72,2.0,0.0,0.0,1.0,2.0,25.92,23.253,0.0,0.799,0.799,0.0,14.0,225.0,86.6,87.12,160,10.27,27700.0,24.64,25.2158,731000,4.564,-4.65,-0.71,3.94,-0.4099999999999992,-0.0699999999999998,0.3399999999999994,3.0,1.0,2.2,0.5345224838248488,1.587e-08,24391195280670.85,2600.0,3231.1475,430.0,8.3,29.380000000000003,1.627619047619048e-05,3,0.6633249580710799,0.2027027027027027
Ag2As2Te4,0.0662123132328917,33.0,52.0,19.0,46.0,52.0,65.0,90.0,82.25,8.625,90.0,722.66,1234.93,942.5625,722.66,1.0,145.0,26.0,2.18,0.2500000000000002,2.0775,2.1,1.0,2.0,2.0,0.0,4.0,1.375,10.0,0.0,0.0,0.0,11.0,5.0,1.0,0.0,3.0,0.875,2.0,0.0,0.0,1.0,2.0,34.7633333333,27.00791666665,0.0,0.464,0.464,0.0,152.0,225.0,173.75,25.625,160,10.27,27700.0,24.64,25.3625,731000,5.6275,-4.65,-0.71,3.94,-0.4099999999999992,-0.1103408197224911,0.2996591802775081,3.0,1.0,2.25,0.5477225575051662,1.587e-08,0.0001,2600.0,2831.434375,430.0,22.0,63.0,1.627619047619048e-05,3,0.6123724356957945,0.1896551724137931
Ag2As2Te6,0.1178828328302181,33.0,52.0,19.0,47.2,52.0,65.0,90.0,83.8,7.520000000000001,90.0,722.66,1234.93,898.582,722.66,1.0,145.0,26.0,2.18,0.2500000000000002,2.082,2.1,1.0,2.0,2.0,0.0,4.0,1.2,10.0,0.0,0.0,0.0,11.0,5.0,1.0,0.0,3.0,0.72,2.0,0.0,0.0,1.0,2.0,34.7633333333,28.55899999998,0.0,0.464,0.464,0.0,152.0,225.0,169.4,22.24,160,10.27,27700.0,24.64,25.436,731000,5.601999999999999,-4.65,-0.71,3.94,-0.4099999999999992,-0.1103408197224911,0.2996591802775081,3.0,1.0,2.2,0.5345224838248488,1.587e-08,0.0001,2600.0,2787.1475,430.0,22.0,63.4,1.627619047619048e-05,3,0.6633249580710799,0.2027027027027027
Ag2As4Br2O3,-0.5236506047395708,8.0,47.0,39.0,29.09090909090909,33.0,65.0,95.0,83.36363636363636,6.677685950413226,84.0,54.8,1234.93,684.169090909091,1090.0,3.0,145.0,79.0,3.44,1.51,2.62,2.18,1.0,2.0,2.0,0.0,5.0,1.190082644628099,10.0,10.0,0.0,0.0,6.0,11.0,1.0,0.0,3.0,0.9586776859504132,3.0,0.0,0.0,1.0,2.0,29.48,18.87590909090909,0.0,1.457,0.0,0.0,12.0,225.0,116.1818181818182,75.80165289256198,160,10.27,27700.0,24.64,35.34309090909091,731000,3.649636363636364,-4.99,-0.71,4.28,-0.4099999999999992,0.2300000000000004,0.6399999999999997,3.0,1.0,2.1818181818181817,0.4522670168666454,1.587e-08,24391195280670.85,317.5,2471.5386363636367,430.0,1.9,51.2893280632411,1.627619047619048e-05,4,0.5222329678670935,0.2537313432835821
