feature,mi_score,mi_score_scaled
DemlData std_dev electronegativity,0.5542193178270907,1.0
PymatgenData std_dev X,0.554026711866511,0.9996524733902549
MagpieData avg_dev Electronegativity,0.5509685858929947,0.9941345748343074
PymatgenData range X,0.5302436782418605,0.9567397981015338
DemlData range electronegativity,0.5285430760341185,0.9536713337715471
MagpieData range Electronegativity,0.5268082774366967,0.950541167532984
DemlData range electric_pol,0.4189938423473061,0.7560072860506584
MagpieData range CovalentRadius,0.40633670295473134,0.7331695050757924
DemlData range first_ioniz,0.38379449981369884,0.6924957096739776
MagpieData mode MendeleevNumber,0.3671662288831401,0.6624926578212332
MagpieData mode GSvolume_pa,0.3592757290458768,0.6482555145397625
MagpieData mode Number,0.3542172792427025,0.6391283519879287
MagpieData mode AtomicWeight,0.34758835020885837,0.6271675111788534
DemlData std_dev first_ioniz,0.343438763550469,0.6196802466160471
MagpieData mode CovalentRadius,0.327326969301978,0.5906090942216126
MagpieData minimum GSvolume_pa,0.3258512133209175,0.5879463288982267
DemlData minimum electric_pol,0.32155750289476037,0.5801990160781119
DemlData maximum first_ioniz,0.31718741294703223,0.5723138886436121
DemlData maximum FERE correction,0.3170105075831202,0.5719946912460807
MagpieData mode Electronegativity,0.3162469802082599,0.57061702837815
MagpieData mode MeltingT,0.3161043885708734,0.5703597446047414
DemlData minimum heat_fusion,0.30690774078647465,0.5537658665341325
PymatgenData maximum X,0.3060846290289061,0.5522806931901291
DemlData maximum electronegativity,0.3060815342045209,0.5522751090751665
MagpieData maximum Electronegativity,0.3060653937974398,0.552245986295498
PymatgenData range mendeleev_no,0.3034728566033795,0.5475681681273679
MagpieData avg_dev CovalentRadius,0.3026399258854058,0.5460652780418339
DemlData std_dev electric_pol,0.301066049603552,0.5432254703497736
MagpieData minimum CovalentRadius,0.29646104421032016,0.534916475615908
MagpieData range SpaceGroupNumber,0.2955949126607855,0.5333536799469832
PymatgenData maximum mendeleev_no,0.29332945857371406,0.5292660308625855
DemlData minimum melting_point,0.2911407218976012,0.5253168060598591
MagpieData minimum MeltingT,0.29095316031407314,0.5249783812206394
PymatgenData minimum melting_point,0.290850391072802,0.524792950583407
DemlData minimum boiling_point,0.28249195190937604,0.5097114857290304
DemlData minimum atom_mass,0.28238183523787974,0.5095127978306582
PymatgenData minimum atomic_mass,0.2819539313707726,0.5087407138318817
MagpieData minimum AtomicWeight,0.28179020625997797,0.5084452980902642
MagpieData minimum Number,0.28057457472534075,0.5062518856711459
DemlData minimum atom_num,0.2803581490709348,0.5058613802386495
DemlData range boiling_point,0.2731052273093031,0.49277464448561215
DemlData range atom_radius,0.26425800354100204,0.47681124609129405
PymatgenData range atomic_radius,0.2641230782321289,0.47656779497991425
PymatgenData range melting_point,0.2624902954485542,0.47362169993945935
DemlData range melting_point,0.2617435257689662,0.47227427364887853
DemlData minimum atom_radius,0.26137257832729643,0.4716049583981505
PymatgenData minimum atomic_radius,0.26067544074572924,0.47034708527979646
MagpieData range MeltingT,0.25961964875142574,0.4684420777126786
MagpieData mode SpaceGroupNumber,0.25845622549175484,0.4663428667645069
MagpieData avg_dev Column,0.25590612295131,0.4617416151328551
PymatgenData std_dev group,0.2545988260678076,0.4593828072720467
DemlData std_dev col_num,0.25377173360274696,0.45789045137888984
avg d valence electrons,0.2479152747910991,0.44732340937355325
MagpieData mean NdValence,0.24758592469391072,0.4467291498690675
PymatgenData std_dev atomic_radius,0.24582974940682778,0.4435604128175184
DemlData std_dev atom_radius,0.24558733432029722,0.44312301361699796
PymatgenData minimum thermal_conductivity,0.23813851288779553,0.4296828082814892
PymatgenData std_dev mendeleev_no,0.2377571077002143,0.42899462370308694
MagpieData mean SpaceGroupNumber,0.23747958089145627,0.4284938710229997
DemlData range heat_fusion,0.23661959608579508,0.42694216616898467
MagpieData range MendeleevNumber,0.2343215164117023,0.42279564943784154
DemlData mean FERE correction,0.2314751074061725,0.4176597602438495
MagpieData avg_dev NUnfilled,0.23098751184192334,0.4167799721372911
PymatgenData minimum velocity_of_sound,0.23075531766014823,0.4163610149225093
MagpieData minimum MendeleevNumber,0.229497191616983,0.41409092796830876
DemlData maximum heat_cap,0.22816847805051266,0.4116934771329972
MagpieData maximum MendeleevNumber,0.22708932503310209,0.409746318340984
MagpieData avg_dev SpaceGroupNumber,0.22615741251926202,0.4080648314568859
MagpieData mean GSbandgap,0.22096655292037948,0.3986987566343153
PymatgenData minimum mendeleev_no,0.22071076128447675,0.3982372215927264
MagpieData avg_dev GSbandgap,0.22053243680707446,0.3979154636321749
MagpieData minimum SpaceGroupNumber,0.22043841179723156,0.3977458105601536
frac p valence electrons,0.22006012281302123,0.3970632486716697
DemlData mean electronegativity,0.21823875934371806,0.39377688998528515
MagpieData mean Electronegativity,0.21813911647767714,0.3935971003914623
PymatgenData mean X,0.21811450759192041,0.3935526975982626
DemlData range heat_cap,0.21606360510854827,0.3898521725219931
MagpieData avg_dev NpValence,0.2125236117570095,0.3834648214541561
DemlData range FERE correction,0.21208900725575486,0.38268064723417655
frac s valence electrons,0.2112933232020593,0.3812449627892258
DemlData mean heat_cap,0.21011022665443502,0.3791102545436475
PymatgenData range bulk_modulus,0.21008039023842695,0.3790564195093058
DemlData range GGAU_Etot,0.20742902308395283,0.3742724520993114
DemlData std_dev heat_cap,0.20721417759890226,0.37388479782935036
MagpieData minimum Electronegativity,0.2058987973183326,0.37151140477310174
DemlData minimum electronegativity,0.20538293202022562,0.3705806084592354
DemlData maximum electric_pol,0.20529184985715698,0.37041626528291716
PymatgenData minimum X,0.20470190111220443,0.36935179725378825
PymatgenData std_dev block,0.20217959668337038,0.36480070286263067
frac d valence electrons,0.19949986169954403,0.3599655502477188
DemlData maximum mus_fere,0.19859121382211198,0.358326040674154
DemlData mean first_ioniz,0.19497496507356527,0.3518010989548274
MagpieData minimum Column,0.1943980061120274,0.35076006890953787
DemlData minimum col_num,0.19429942002473544,0.3505821861037229
PymatgenData minimum group,0.1942107747434032,0.35042223989022786
PymatgenData mean electrical_resistivity,0.19331614838877131,0.348808029908989
DemlData minimum GGAU_Etot,0.19320996400012413,0.34861643718525737
MagpieData mode GSbandgap,0.1932093357989837,0.34861530369690674
MagpieData mode NValence,0.1920679448887639,0.34655584659480715
MagpieData mean NValence,0.19193856086427807,0.34632239384365965
MagpieData avg_dev NpUnfilled,0.19000547631862474,0.34283445236729193
DemlData range col_num,0.18874433780374567,0.34055892989033537
PymatgenData range group,0.1887098816039119,0.3404967591959452
MagpieData range Column,0.18867383468483467,0.34043171830343616
DemlData minimum first_ioniz,0.18867053909934306,0.3404257719472093
MagpieData mean Column,0.188531199336599,0.34017435566080056
DemlData minimum molar_vol,0.18821519707467438,0.33960418018737326
DemlData mean col_num,0.18789787089876064,0.3390316159231793
PymatgenData mean group,0.18764308630421045,0.3385718979264319
DemlData maximum boiling_point,0.18554800095171586,0.3347916519387808
MagpieData maximum CovalentRadius,0.18532421798324883,0.3343878714113455
DemlData maximum melting_point,0.18462718130094213,0.33313018034954794
MagpieData range AtomicWeight,0.18441611319158469,0.332749341749073
MagpieData maximum MeltingT,0.18435329840496362,0.33263600252649345
PymatgenData maximum melting_point,0.18434087819774092,0.33261359225167414
PymatgenData range atomic_mass,0.18433954054258272,0.33261117866716855
DemlData maximum molar_vol,0.18424201711676513,0.33243521326379727
DemlData range atom_mass,0.18407683965016997,0.33213717697873457
DemlData maximum GGAU_Etot,0.18222225788342028,0.32879088119456584
MagpieData mean NpUnfilled,0.18214317571014238,0.3286481900780094
MagpieData mean NpValence,0.18128780723661464,0.32710481465601693
avg p valence electrons,0.18110445601256853,0.32677398673618735
MagpieData range GSvolume_pa,0.1789414728304255,0.32287122998887047
MagpieData avg_dev MendeleevNumber,0.17626560963542914,0.31804306339682975
MagpieData maximum GSbandgap,0.17583587675748413,0.31726767924091503
PymatgenData range thermal_conductivity,0.1748733563741416,0.31553096535819386
DemlData maximum heat_fusion,0.1744509350330814,0.3147687736996347
3-norm,0.17442080846707508,0.31471441513608905
MagpieData range GSbandgap,0.1732431248016586,0.31258947356957384
PymatgenData minimum row,0.17298453707408523,0.3121228934283633
DemlData minimum row_num,0.17298453707408523,0.3121228934283633
MagpieData minimum Row,0.17298453707408523,0.3121228934283633
PymatgenData maximum atomic_mass,0.17059159589387196,0.30780521430163205
MagpieData maximum AtomicWeight,0.17044754381192373,0.3075452953899041
DemlData maximum atom_num,0.1704211723330964,0.30749771227979034
DemlData maximum atom_mass,0.169891028646175,0.3065411529000128
MagpieData maximum Number,0.16945616809707165,0.3057565166826967
DemlData range mus_fere,0.16897532686409278,0.30488891568519977
DemlData range molar_vol,0.16850122158430914,0.304033468636471
DemlData mean row_num,0.16812537944494288,0.3033553216876425
PymatgenData std_dev electrical_resistivity,0.16725205277146182,0.3017795435698658
PymatgenData mean row,0.1664120262697093,0.300263850278903
MagpieData mean Row,0.16600547461956694,0.2995302929360512
MagpieData mode Row,0.1650118492318402,0.2977374550544299
PymatgenData mean block,0.164373176651202,0.29658507266699846
2-norm,0.16347618297615973,0.2949665912352088
DemlData minimum mus_fere,0.1633766224420321,0.29478695019613793
PymatgenData range coefficient_of_linear_thermal_expansion,0.16194939924663743,0.29221175451189085
MagpieData mode Column,0.16114346599745355,0.2907575770351048
PymatgenData mean atomic_radius,0.15960116051855877,0.2879747338008746
5-norm,0.1584305092211551,0.2858624810161947
DemlData mean atom_radius,0.15841490376630496,0.28583432347215365
MagpieData mean NUnfilled,0.1562569428559213,0.2819406286099025
PymatgenData maximum thermal_conductivity,0.15561620591683667,0.2807845214182645
MagpieData minimum NValence,0.1544826469658762,0.27873919583234885
DemlData minimum FERE correction,0.15445221332326886,0.2786842831982554
MagpieData range Number,0.15398440799498747,0.2778402034030662
MagpieData maximum GSvolume_pa,0.15389346923717317,0.27767611897856287
