feature,mi_score_bruto
MagpieData range Electronegativity,0.5263122947025476
MagpieData range CovalentRadius,0.4066388553704421
MagpieData mode MendeleevNumber,0.36838617972762666
MagpieData mode Number,0.3536192382937027
MagpieData mode Electronegativity,0.31584410329979207
DemlData maximum FERE correction,0.3151438245773779
MagpieData mode MeltingT,0.31447920922222394
MagpieData maximum Electronegativity,0.3056037471411579
MagpieData minimum MeltingT,0.2908721332417805
MagpieData minimum Number,0.28063532034439476
MagpieData mean SpaceGroupNumber,0.23782335531788146
PymatgenData minimum velocity_of_sound,0.23024825800590776
MagpieData minimum MendeleevNumber,0.2280283600857551
MagpieData maximum MendeleevNumber,0.22699031324362018
MagpieData avg_dev SpaceGroupNumber,0.22657008214152707
frac p valence electrons,0.22022097765129978
MagpieData minimum SpaceGroupNumber,0.2201787353217961
MagpieData mean Electronegativity,0.21800951281423142
DemlData range FERE correction,0.2130780383118811
MagpieData avg_dev NpValence,0.2127162891955381
DemlData mean heat_cap,0.21005560128620537
DemlData range GGAU_Etot,0.20850437980673497
PymatgenData std_dev block,0.2015186257660453
MagpieData mode GSbandgap,0.19332350022964384
DemlData minimum GGAU_Etot,0.19227666178357827
MagpieData avg_dev NpUnfilled,0.19151792670411805
DemlData minimum first_ioniz,0.18891071046756647
DemlData minimum molar_vol,0.18793447574428157
MagpieData maximum CovalentRadius,0.18624406520943193
MagpieData maximum MeltingT,0.18414084775492423
DemlData maximum GGAU_Etot,0.18202765732084414
MagpieData avg_dev MendeleevNumber,0.17608621471688046
MagpieData maximum GSbandgap,0.17522183485782028
DemlData maximum heat_fusion,0.1743499243126907
MagpieData maximum Number,0.16890458912464013
2-norm,0.16584787755723873
PymatgenData mean block,0.1647492254590719
MagpieData mean NUnfilled,0.15801687728868963
PymatgenData maximum thermal_conductivity,0.15687878778577602
MagpieData maximum GSvolume_pa,0.15539734964780338
DemlData minimum FERE correction,0.15469141512970053
MagpieData minimum NValence,0.15458999526859962
MagpieData range Number,0.15247921773235973
MagpieData mean MendeleevNumber,0.14164176952701357
PymatgenData minimum coefficient_of_linear_thermal_expansion,0.13412913809596194
MagpieData mean Number,0.13084192609164091
PymatgenData mean velocity_of_sound,0.13031536854351167
MagpieData mean GSvolume_pa,0.12452153601329119
MagpieData mean MeltingT,0.12023945508514178
PymatgenData minimum bulk_modulus,0.10955616699577586
MagpieData maximum NdUnfilled,0.10694207842842163
PymatgenData mean bulk_modulus,0.10516073598435138
DemlData minimum heat_cap,0.10435697560689983
PymatgenData maximum electrical_resistivity,0.09555363584607202
DemlData maximum atom_radius,0.09212070945135631
DemlData mean electric_pol,0.0874233690835764
MagpieData range NValence,0.08117644774340338
MagpieData range NdValence,0.07795251168235717
MagpieData mode NpUnfilled,0.07699669291052302
MagpieData range Row,0.07282429233772358
MagpieData range NpValence,0.07213401732903613
MagpieData maximum NdValence,0.06977157188229954
MagpieData maximum NpUnfilled,0.06391666053221545
MagpieData maximum SpaceGroupNumber,0.05218931623054779
MagpieData minimum NUnfilled,0.044057472904677875
0-norm,0.03725577060451535
MagpieData minimum NsValence,0.02455558287653936
MagpieData mode NsValence,0.023946582017426943
MagpieData mode NdUnfilled,0.022485822280535972
MagpieData mode NsUnfilled,0.015303026133243192
PymatgenData range block,0.014570184647687334
MagpieData minimum NpValence,0.0140902877294522
MagpieData maximum NsUnfilled,0.013579901059061594
MagpieData maximum GSmagmom,0.012489207874774255
MagpieData minimum GSbandgap,0.009752851579457378
MagpieData maximum NsValence,0.0070196609178506675
PymatgenData maximum block,0.0034869951818379263
MagpieData mode NfValence,0.001407926522562386
MagpieData minimum NfValence,0.0012054858752132969
PymatgenData minimum electrical_resistivity,0.00038920257680385983
