Classe,formula
Haletos com Calcogênios,Al2Br2SSe
Haletos com Calcogênios,Al2Br2Te2
Haletos com Calcogênios,Al2I2Te2
Haletos com Calcogênios,Al4Br4S4
Haletos com Calcogênios,Al4Br4Te4
Haletos com Calcogênios,Al4I4Se4
Haletos com Calcogênios,As2Cl2Ge2S6
Haletos com Calcogênios,AsBr2Se
Haletos com Calcogênios,AsBrS
Haletos com Calcogênios,AsClS
Haletos com Calcogênios,AsClSe
Haletos com Calcogênios,Ba2I4S8
Haletos com Calcogênios,Ba4As4Cl4Se8
Haletos com Calcogênios,Ba4As4F4S8
Haletos com Calcogênios,Ba4As4F4Se8
Haletos com Calcogênios,Ba4Bi4Cl4S8
Haletos com Calcogênios,Ba4Cl4Sb4Te8
Haletos com Calcogênios,Ba4F4S8Sb4
Haletos com Calcogênios,BeF4S4Sb2
Haletos com Calcogênios,Bi2Br2Te2
Haletos com Calcogênios,Bi2Cl2Se2
Haletos com Calcogênios,Bi2F2S2
Haletos com Calcogênios,Bi2F2Te2
Haletos com Calcogênios,Bi4Sr4Cl4Se8
Haletos com Calcogênios,Bi5AsBr6S2Se
Haletos com Calcogênios,BiBrSe
Haletos com Calcogênios,BiFO6S2
Haletos com Calcogênios,BiISe
Haletos com Calcogênios,Br2Ge2Se2
Haletos com Calcogênios,Br2Si2Te2
Haletos com Calcogênios,Br4Ge3S
Haletos com Calcogênios,BrClGe3Se5
Haletos com Calcogênios,BrGe2ISe2
Haletos com Calcogênios,BrNSb2Te
Haletos com Calcogênios,BrPS
Haletos com Calcogênios,BrPTe
Haletos com Calcogênios,Ca2BrClS2
Haletos com Calcogênios,Ca2F2N2S6
Haletos com Calcogênios,CaF2Te2
Haletos com Calcogênios,CaPbClS
Haletos com Calcogênios,CaSn3Br4S4
Haletos com Calcogênios,Cl2Ge2S2
Haletos com Calcogênios,Cl2Ge2S6Sb2
Haletos com Calcogênios,Cl2Sb2Se2
Haletos com Calcogênios,ClSbTe
Haletos com Calcogênios,Cs2B2F6O2S6
Haletos com Calcogênios,Cs2C2Cl6S6Se2
Haletos com Calcogênios,Cs2C2Cl6S8
Haletos com Calcogênios,Cs2C2F6S8
Haletos com Calcogênios,Cs2C4F6S6
Haletos com Calcogênios,Cs2Cl6N2O6S2
Haletos com Calcogênios,Cs2F2N2S6
Haletos com Calcogênios,Cs2F6N2O6S2
Haletos com Calcogênios,F2O10Sb2Te2
Haletos com Calcogênios,F2P6S12
Haletos com Calcogênios,F2S2Sb2
Haletos com Calcogênios,F2Si2Te2
Haletos com Calcogênios,FPS
Haletos com Calcogênios,FSbTe
Haletos com Calcogênios,Ga2Br2Te2
Haletos com Calcogênios,Ga2Cl2Te2
Haletos com Calcogênios,Ga2I2Te2
Haletos com Calcogênios,Ga3Br2PSSe3
Haletos com Calcogênios,Ga4Cl4Se4
Haletos com Calcogênios,Ga4I4Se4
Haletos com Calcogênios,GaBr2Se
Haletos com Calcogênios,GaPbBr2STe
Haletos com Calcogênios,GaSnCl2S2
Haletos com Calcogênios,I2S2Sb2
Haletos com Calcogênios,I2Se2Si2
Haletos com Calcogênios,In2BrSSe
Haletos com Calcogênios,In2Cl2Te2
Haletos com Calcogênios,In2F2S8Se2
Haletos com Calcogênios,In3Br5SSe
Haletos com Calcogênios,In3BrIS
Haletos com Calcogênios,In4Br2ClISSe3
Haletos com Calcogênios,In4Br4S4
Haletos com Calcogênios,In4Cl4S4
Haletos com Calcogênios,InBr2Se
Haletos com Calcogênios,InClSeSi
Haletos com Calcogênios,InSnBrIS
Haletos com Calcogênios,K2C10F6S2
Haletos com Calcogênios,K2C2Cl6O6Te2
Haletos com Calcogênios,K2C2Cl6S6Se2
Haletos com Calcogênios,K2C2Cl6S8
Haletos com Calcogênios,K2C2F2S6
Haletos com Calcogênios,K2C2F6O6S2
Haletos com Calcogênios,K2Cl6N2O6Se2
Haletos com Calcogênios,K2Cl6N2O6Te2
Haletos com Calcogênios,K2F2Se2
Haletos com Calcogênios,K2F6N2O6S2
Haletos com Calcogênios,Li2F6GeS6
Haletos com Calcogênios,Li2MgF4O8S2
Haletos com Calcogênios,Li6F2O8S2
Haletos com Calcogênios,MgF2Se2
Haletos com Calcogênios,Na2Cl2H8S4
Haletos com Calcogênios,Na2Cl2S4
Haletos com Calcogênios,Na2F2Te2
Haletos com Calcogênios,Na2I2S4
Haletos com Calcogênios,Na2SnF6S6
Haletos com Calcogênios,Na6F2O8Te2
Haletos com Calcogênios,NaC5F5N2S5
Haletos com Calcogênios,Pb2As2Cl2S6
Haletos com Calcogênios,Pb2As2F2S6
Haletos com Calcogênios,Pb2Br2Se2
Haletos com Calcogênios,Pb2BrSTe
Haletos com Calcogênios,Pb2F2P2S6
Haletos com Calcogênios,Pb2F2S2
